Predicted, Actual,diff
9662.51258385561  ,  8013.0  ,   1649.5125838556105
6968.780921957403  ,  6692.0  ,   276.7809219574028
2631.0651901093825  ,  5151.0  ,   -2519.9348098906175
12484.524333215924  ,  14869.0  ,   -2384.4756667840757
7531.077341323604  ,  8058.0  ,   -526.9226586763962
17609.11824656136  ,  12940.0  ,   4669.11824656136
5688.300543620497  ,  6189.0  ,   -500.6994563795033
12039.068443052392  ,  10795.0  ,   1244.0684430523925
6519.939977871751  ,  6575.0  ,   -55.06002212824933
16950.279943435155  ,  16558.0  ,   392.27994343515456
8072.147090813722  ,  9298.0  ,   -1225.8529091862783
30229.387899782065  ,  36880.0  ,   -6650.612100217935
13029.457554623097  ,  11199.0  ,   1830.4575546230972
28812.223327900523  ,  28248.0  ,   564.2233279005231
10020.957875154521  ,  8921.0  ,   1099.9578751545214
7796.373250857423  ,  7609.0  ,   187.37325085742305
5348.074379611839  ,  7898.0  ,   -2549.9256203881614
20367.80013362536  ,  16925.0  ,   3442.8001336253583
9481.676928582254  ,  8499.0  ,   982.6769285822538
17873.389384963943  ,  15985.0  ,   1888.3893849639426
